
***SUMMARY***SUMMARY***SUMMARY***SUMMARY***SUMMARY***

Simulation:         Evacuation
Version:            2022.3.1207
Mode:               Steering
Total Occupants:    290


Completion Times for All Occupants (s):
  Min:                2.2 "00076"
  Max:              137.1 "00269"
  Average:           71.7
  StdDev:            36.5

Completion Times by Behavior (s):
       Behavior	Count	Min	Min_Name	  Max	Max_Name	 Avg	StdDev
  Goto Any Exit	  290	2.2	 "00076"	137.1	 "00269"	71.7	  36.5
*all behaviors*	  290	2.2	 "00076"	137.1	 "00269"	71.7	  36.5

Completion Times by Profile (s):
       Profile	Count	Min	Min_Name	  Max	Max_Name	 Avg	StdDev
       Default	  290	2.2	 "00076"	137.1	 "00269"	71.7	  36.5
*all profiles*	  290	2.2	 "00076"	137.1	 "00269"	71.7	  36.5

Travel Distances for All Occupants (m):
  Min:                1.9 "00076"
  Max:              119.9 "00269"
  Average:           64.5
  StdDev:            28.9

Movement Distance by Behavior (m):
       Behavior	Count	Min	Min_Name	  Max	Max_Name	 Avg	StdDev
  Goto Any Exit	  290	1.9	 "00076"	119.9	 "00269"	64.5	  28.9
*all behaviors*	  290	1.9	 "00076"	119.9	 "00269"	64.5	  28.9

Movement Distance by Profile (m):
       Profile	Count	Min	Min_Name	  Max	Max_Name	 Avg	StdDev
       Default	  290	1.9	 "00076"	119.9	 "00269"	64.5	  28.9
*all profiles*	  290	1.9	 "00076"	119.9	 "00269"	64.5	  28.9

[Components] All:   723
[Components] Doors: 257
Triangles:          17137
Startup Time:       0.1s
CPU Time:           8.5s

Door Flow Rates:
                 Door	First_In	Last_Out	Last_Out_Name	Total_Use	 Flow_Avg
                     	     (s)	     (s)	             	   (pers)	 (pers/s)
     Piętro 0->Door04	     2.2	     3.4	        00065	        2	     1.67
     Piętro 0->Door05	     1.5	     6.6	        00065	        3	     0.58
    Piętro 0->Door100	     2.2	   137.1	        00269	      290	     2.15
    Piętro 0->Door101	     1.1	   128.3	        00277	      159	     1.25
    Piętro 0->Door107	     1.9	     1.9	        00112	        1	         
    Piętro 0->Door108	    16.5	   111.8	        00232	       93	     0.98
     Piętro 0->Door12	     2.8	     2.8	        00069	        1	         
     Piętro 0->Door13	     0.9	     0.9	        00069	        1	         
     Piętro 0->Door42	     0.0	     0.0	             	        0	         
     Piętro 0->Door44	     0.0	     0.0	             	        0	         
     Piętro 0->Door47	     2.3	     4.0	        00062	        2	     1.21
     Piętro 0->Door48	     1.9	    35.7	        00043	        7	     0.21
     Piętro 0->Door49	     1.5	    10.2	        00058	        8	     0.91
     Piętro 0->Door50	     0.0	     0.0	             	        0	         
     Piętro 0->Door51	     1.6	    39.1	        00118	        4	     0.11
     Piętro 0->Door53	     3.4	     6.4	        00071	        3	     0.98
     Piętro 0->Door54	     6.9	     6.9	        00073	        1	         
     Piętro 0->Door56	     0.0	     0.0	             	        0	         
     Piętro 0->Door57	     1.0	    19.6	        00039	       30	     1.62
     Piętro 0->Door59	    13.9	   111.8	        00277	       91	     0.93
     Piętro 0->Door68	     2.8	     4.8	        00083	        2	     1.04
     Piętro 0->Door69	     4.7	   128.6	        00232	      128	     1.03
     Piętro 0->Door70	     2.0	     2.0	        00084	        1	         
     Piętro 0->Door72	     4.3	    11.4	        00080	        4	     0.57
     Piętro 0->Door73	     2.4	     7.8	        00080	        3	     0.56
     Piętro 0->Door74	     0.0	     0.0	             	        0	         
     Piętro 0->Door75	     2.1	     4.7	        00080	        2	     0.75
     Piętro 0->Door76	     5.5	   121.5	        00232	      120	     1.03
     Piętro 0->Door77	     2.6	     2.6	        00085	        1	         
     Piętro 0->Door79	     4.5	     4.5	        00085	        1	         
     Piętro 0->Door83	     8.1	    10.5	        00106	        3	     1.22
     Piętro 0->Door84	     1.5	    11.4	        00101	        6	     0.61
     Piętro 0->Door85	     0.0	     0.0	             	        0	         
     Piętro 0->Door86	     0.0	     0.0	             	        0	         
     Piętro 0->Door87	     3.2	     8.5	        00101	        5	     0.95
     Piętro 0->Door90	     6.4	     6.4	        00098	        1	         
     Piętro 0->Door91	     0.0	     0.0	             	        0	         
     Piętro 0->Door92	     1.3	     1.3	        00111	        1	         
     Piętro 0->Door93	     2.1	     3.8	        00112	        2	     1.16
     Piętro 0->Door94	     6.9	     7.7	        00112	        1	         
     Piętro 0->Door95	     5.1	    16.8	        00109	        3	     0.26
     Piętro 0->Door97	     0.0	     0.0	             	        0	         
     Piętro 0->Door98	     3.3	     4.4	        00096	        2	     1.78
     Piętro 0->Door99	     2.2	     2.2	        00107	        1	         
       Stair07 door 1	    12.7	   102.7	        00277	       86	     0.96
       Stair07 door 2	    15.8	   106.5	        00277	       86	     0.95
       Stair08 door 1	    11.7	   100.4	        00277	       86	     0.97
       Stair08 door 2	    10.3	    98.5	        00277	       86	     0.98
       Stair09 door 1	     9.1	    95.5	        00277	       86	     1.00
       Stair09 door 2	     6.0	    91.8	        00277	       86	     1.00
       Stair12 door 1	     8.6	   102.0	        00232	       93	     1.00
       Stair12 door 2	    11.6	   106.5	        00232	       93	     0.98
       Stair13 door 1	     7.6	    99.9	        00232	       93	     1.01
       Stair13 door 2	     6.2	    97.6	        00232	       93	     1.02
       Stair14 door 1	     5.1	    94.7	        00232	       93	     1.04
       Stair14 door 2	     2.0	    89.3	        00232	       93	     1.07
  Piętro 1->Door108_1	     2.6	    36.7	        00166	       33	     0.97
    Piętro 1->Door109	     0.0	     0.0	             	        0	         
    Piętro 1->Door110	     0.0	     0.0	             	        0	         
    Piętro 1->Door113	     0.0	     0.0	             	        0	         
    Piętro 1->Door114	     0.0	     0.0	             	        0	         
    Piętro 1->Door116	     0.0	     0.0	             	        0	         
    Piętro 1->Door117	     1.3	     3.1	        00124	        2	     1.10
    Piętro 1->Door118	     0.0	     0.0	             	        0	         
    Piętro 1->Door119	     1.8	     1.8	        00120	        1	         
    Piętro 1->Door121	     0.0	     0.0	             	        0	         
    Piętro 1->Door123	     0.0	     0.0	             	        0	         
    Piętro 1->Door124	     0.0	     0.0	             	        0	         
    Piętro 1->Door125	     0.0	     0.0	             	        0	         
    Piętro 1->Door127	     3.3	    33.2	        00122	       25	     0.84
    Piętro 1->Door128	     0.0	     0.0	             	        0	         
    Piętro 1->Door129	     3.7	     6.8	        00149	        3	     0.98
    Piętro 1->Door130	     0.0	     0.0	             	        0	         
    Piętro 1->Door131	     1.6	    19.6	        00122	        7	     0.39
    Piętro 1->Door133	     2.0	     2.0	        00170	        1	         
    Piętro 1->Door134	     0.0	     0.0	             	        0	         
    Piętro 1->Door136	     0.0	     0.0	             	        0	         
    Piętro 1->Door137	     0.0	     0.0	             	        0	         
    Piętro 1->Door138	     0.0	     0.0	             	        0	         
    Piętro 1->Door139	     0.0	     0.0	             	        0	         
    Piętro 1->Door140	     0.0	     0.0	             	        0	         
    Piętro 1->Door141	    11.1	    19.8	        00166	        5	     0.57
    Piętro 1->Door142	    12.3	    20.3	        00127	        5	     0.63
   Piętro 1->Door91_1	     0.0	     0.0	             	        0	         
   Piętro 1->Door97_1	     0.8	     5.6	        00164	        5	     1.04
    Piętro 1->Door143	     2.3	     4.4	        00166	        2	     0.92
    Piętro 1->Door144	     0.9	     2.2	        00135	        2	     1.57
    Piętro 1->Door145	     3.0	     3.0	        00164	        1	         
    Piętro 1->Door146	     0.0	     0.0	             	        0	         
    Piętro 1->Door147	     0.0	     0.0	             	        0	         
